Generation,Champion Accounts,Champion Uniques,Average Accounts,Average Uniques,Total Accounts,Total Uniques
0,69,52,37.39,31.12,1570,1318
1,69,52,37.12,28.97,2036,1716
2,69,52,37.32,30.57,2413,2054
3,74,51,37.41,29.04,2707,2300
4,74,51,37.27,28.38,2970,2528
5,77,58,30.37,24.19,3152,2669
6,77,58,37.1,30.1,3393,2882
7,77,58,39.23,31.49,3546,3026
8,77,58,41.05,33.22,3690,3166
9,80,58,42.86,34.3,3817,3283
10,80,58,39.21,31.49,3928,3388
11,80,58,40.29,32.69,4029,3476
12,80,58,37.39,30.36,4108,3548
13,80,58,42.22,34.33,4198,3634
14,80,58,37.61,30.3,4277,3700
15,80,58,38.76,31.44,4333,3753
16,80,58,34.87,28.39,4405,3815
17,81,57,41.75,33.24,4478,3877
18,81,57,40.88,32.69,4537,3933
19,81,57,41.67,33.74,4591,3978
20,81,57,38.36,30.76,4643,4026
21,81,57,37.57,30.04,4685,4065
22,81,57,36.71,29.65,4722,4099
23,81,57,36.97,29.33,4768,4138
24,81,57,37.17,30.12,4806,4173
25,81,57,39.56,31.13,4833,4200
26,81,57,38.22,29.9,4891,4253
27,84,54,38.55,30.6,4943,4299
28,84,54,36.84,29.55,4982,4338
29,84,54,38.87,30.58,5021,4367
30,84,54,36.35,29.08,5054,4396
31,84,54,38.64,31.17,5080,4419
32,84,54,39.64,31.53,5113,4449
33,84,54,41.96,32.99,5139,4475
34,84,54,45.17,35.33,5172,4501
35,85,56,40.51,32.44,5195,4523
36,85,56,41.67,33.62,5220,4547
37,85,56,41.58,32.96,5240,4566
38,92,70,50.31,39.58,5265,4587
39,92,70,38.61,31.06,5288,4610
40,100,66,57.4,45.75,5324,4639
41,100,66,46.59,37.34,5351,4664
42,100,66,49.01,40.22,5365,4678
43,100,66,44.3,36.09,5388,4694
44,100,66,49.13,38.75,5403,4708
45,100,66,45.13,36.01,5428,4729
46,100,66,53.06,42.61,5445,4745
47,100,66,52.59,42.03,5470,4767
48,100,66,61.12,47.85,5488,4785
49,100,66,50.55,39.85,5519,4812
50,100,66,59.24,47.1,5536,4828
51,100,66,49.92,39.5,5558,4849
52,100,66,51.14,40.53,5577,4868
53,100,66,51.18,40.96,5592,4883
54,100,66,56.55,44.6,5607,4898
55,100,66,53.92,42.67,5626,4916
56,112,85,54.63,42.93,5639,4929
57,112,85,51.28,40.29,5655,4944
58,112,85,56.94,45.88,5677,4964
59,112,85,47.1,37.8,5686,4973
60,112,85,57.26,45.43,5701,4988
61,112,85,44.74,34.97,5711,4998
62,112,85,55.4,44.72,5725,5012
63,112,85,42.7,33.93,5737,5023
64,112,85,55.2,44.03,5756,5042
65,112,85,47.94,38.59,5770,5055
66,112,85,59.09,47.37,5776,5061
67,112,85,39.29,30.95,5790,5073
68,112,85,58.9,47.52,5798,5081
69,112,85,45.63,35.12,5805,5088
70,112,85,57.19,45.41,5815,5098
71,112,85,53.72,41.61,5832,5114
72,112,85,53.16,41.13,5843,5125
73,112,85,58.11,45.16,5848,5130
74,112,85,53.18,41.44,5859,5141
75,112,85,57.69,45.59,5869,5150
76,112,85,46.27,35.38,5874,5155
77,112,85,58.34,46,5882,5163
78,112,85,45.22,34.38,5895,5175
79,112,85,56.49,43.79,5908,5186
80,112,85,49.5,37.62,5915,5192
81,112,85,57.61,45.54,5927,5204
82,112,85,45.4,34.39,5936,5213
83,112,85,57.97,45.35,5949,5225
84,112,85,47.42,36.24,5955,5230
85,112,85,57.72,44.95,5963,5238
86,112,85,48.88,37.42,5970,5243
87,112,85,56.19,44.24,5979,5252
88,112,85,50.5,38.19,5985,5258
89,112,85,54.28,43.11,5996,5269
90,112,85,48.38,37.45,6004,5276
91,112,85,51.77,41.19,6011,5283
92,112,85,54.57,42.31,6019,5290
93,112,85,60.83,47.65,6030,5301
94,112,85,51.12,39.73,6040,5309
95,112,85,62.53,49.17,6051,5317
96,112,85,57.25,45.23,6059,5325
97,112,85,58.47,45.9,6066,5332
98,112,85,60.18,46.81,6074,5340
99,112,85,55.32,43.58,6081,5347
100,112,85,58.49,45.11,6086,5352
101,112,85,53.1,42.04,6090,5356
102,112,85,54.67,41.76,6099,5365
103,112,85,50.76,39.8,6108,5371
104,112,85,47.49,35.16,6111,5374
105,112,85,51.59,40.23,6119,5382
106,112,85,47.21,34.78,6126,5389
107,112,85,57.37,44.91,6131,5394
108,112,85,54.65,42.3,6139,5402
109,112,85,57.59,45.51,6145,5408
110,112,85,55.8,43.4,6148,5411
111,112,85,58.31,44.55,6157,5420
112,112,85,57.64,44.14,6161,5424
113,112,85,59.83,46.89,6166,5429
114,112,85,61.59,48.57,6175,5438
115,112,85,61.01,47.58,6178,5441
116,112,85,59.36,45.67,6208,5448
117,112,85,58.25,44.91,6215,5453
118,112,85,57.49,45.18,6223,5459
119,112,85,55.97,43.45,6231,5467
120,112,85,57.08,43.73,6237,5473
121,112,85,58.57,45.63,6245,5481
122,112,85,59.91,47.21,6248,5484
123,112,85,56.31,42.66,6256,5492
124,112,85,56.3,43.45,6261,5497
125,112,85,58.29,43.41,6264,5500
126,112,85,53.98,42.3,6271,5507
127,112,85,59.19,44.06,6277,5513
128,112,85,57.81,45.22,6294,5519
129,112,85,58.09,43.99,6301,5525
130,112,85,58.28,44.89,6310,5533
131,112,85,58.96,45.01,6314,5537
132,112,85,57.74,45,6320,5543
133,112,85,60.58,46.79,6328,5551
134,112,85,54.98,43.62,6333,5556
135,112,85,54.93,41.47,6337,5560
136,112,85,55.31,43.59,6342,5565
137,112,85,51.74,37.88,6345,5568
138,112,85,56.03,44.25,6349,5572
139,112,85,52.9,40.37,6352,5575
140,112,85,56.91,44.43,6358,5581
141,112,85,55.45,42.04,6359,5582
142,112,85,61.4,48.09,6364,5587
143,112,85,54.84,40.61,6367,5590
144,112,85,62.22,47.71,6371,5594
145,112,85,56.61,42.29,6375,5598
146,112,85,60.36,46.94,6379,5602
147,112,85,55.81,42.14,6382,5605
148,112,85,62.51,47.92,6388,5611
149,112,85,55.13,42.21,6392,5615
150,112,85,62.06,47.63,6395,5618
151,112,85,58.28,42.87,6396,5619
152,112,85,57.23,43.47,6396,5619
153,112,85,54.48,40.4,6398,5621
154,112,85,52.52,41.06,6402,5625
155,112,85,51.5,38.45,6404,5627
156,112,85,55.59,43.77,6409,5632
157,112,85,54.68,41.38,6410,5633
158,112,85,54.85,43.1,6416,5639
159,112,85,52.26,39.47,6418,5641
160,112,85,59.58,47.18,6421,5643
161,112,85,51.24,38.02,6422,5644
162,112,85,57.37,45.49,6426,5647
163,112,85,57.98,41.87,6427,5648
164,112,85,59.23,44.97,6432,5653
165,112,85,66.12,44.57,6434,5655
166,112,85,57.5,44.61,6440,5661
167,112,85,70.69,46.66,6441,5662
168,112,85,59.02,44.82,6444,5665
169,112,85,66.37,45.46,6444,5665
170,112,85,57.59,42.24,6445,5666
171,112,85,65.51,45.22,6448,5669
172,112,85,67.82,51.47,6451,5672
173,112,85,65.69,43.36,6454,5675
174,114,86,75.53,57.89,6458,5679
175,114,86,69.34,47.07,6460,5681
176,115,79,74.72,56.17,6463,5684
177,115,79,67.82,44.05,6467,5688
178,118,89,80.63,62.26,6470,5691
179,119,61,72.29,48.76,6471,5692
180,119,61,80.52,61.83,6475,5696
181,119,61,65.61,43.9,6476,5697
182,119,61,77.66,58.99,6478,5699
183,119,61,69.54,46.32,6479,5700
184,119,61,76.08,54.74,6480,5701
185,119,61,69.73,46.62,6481,5702
186,119,61,73.34,50.32,6482,5703
187,119,61,74.94,52.67,6485,5706
188,119,61,72.52,50,6486,5707
189,119,61,68.51,45.47,6487,5708
190,119,61,77.52,57.37,6489,5710
191,119,61,67.3,44.76,6489,5710
192,138,100,75.57,55.72,6493,5714
193,138,100,72.74,52.24,6495,5716
194,138,100,80.64,60.21,6495,5716
195,138,100,81.11,59.71,6496,5717
196,138,100,79.91,59.82,6497,5718
197,138,100,78.2,53,6500,5721
198,138,100,71.33,50.77,6501,5722
199,138,100,71.44,47.4,6501,5722
200,138,100,74.62,52.86,6502,5723
200,138,100,74.62,52.86,6502,5723
